   1  0.9830E+00  0.9820E+00  0.9760E+00  0.9730E+00  0.9650E+00  0.9430E+00  0.9150E+00  0.9070E+00  0.9050E+00  0.9000E+00  0.8500E+00  0.8400E+00  0.1840E+00  0.3940E+00  0.7440E+00  0.8000E+00  0.7440E+00  0.6980E+00  0.5490E+00  0.2810E+00  0.4460E+00
   2  0.1075E+01  0.1076E+01  0.1074E+01  0.1076E+01  0.1066E+01  0.1045E+01  0.1018E+01  0.1000E+01  0.1000E+01  0.9930E+00  0.9320E+00  0.9090E+00  0.2480E+00  0.4930E+00  0.8170E+00  0.8640E+00  0.7930E+00  0.7390E+00  0.5700E+00  0.2640E+00  0.4620E+00
   3  0.1031E+01  0.1028E+01  0.1022E+01  0.1014E+01  0.1006E+01  0.9800E+00  0.9510E+00  0.9340E+00  0.9320E+00  0.9260E+00  0.8760E+00  0.8480E+00  0.2210E+00  0.4210E+00  0.7440E+00  0.8040E+00  0.7390E+00  0.6930E+00  0.5660E+00  0.3210E+00  0.4370E+00
   4  0.1017E+01  0.1014E+01  0.1003E+01  0.9950E+00  0.9850E+00  0.9690E+00  0.9510E+00  0.9490E+00  0.9480E+00  0.9470E+00  0.9130E+00  0.9200E+00  0.2600E+00  0.4620E+00  0.8170E+00  0.9040E+00  0.8900E+00  0.8760E+00  0.7540E+00  0.5030E+00  0.8210E+00
   5  0.8940E+00  0.9010E+00  0.9060E+00  0.9140E+00  0.9110E+00  0.8990E+00  0.8750E+00  0.8670E+00  0.8640E+00  0.8600E+00  0.8090E+00  0.8000E+00  0.2440E+00  0.4290E+00  0.7150E+00  0.7680E+00  0.7200E+00  0.6840E+00  0.5410E+00  0.3160E+00  0.4730E+00
   6  0.1004E+01  0.1003E+01  0.1008E+01  0.1010E+01  0.1005E+01  0.9810E+00  0.9460E+00  0.9270E+00  0.9250E+00  0.9170E+00  0.8590E+00  0.8270E+00  0.2140E+00  0.4210E+00  0.7310E+00  0.7810E+00  0.7090E+00  0.6570E+00  0.5070E+00  0.2410E+00  0.3740E+00
   7  0.9910E+00  0.9880E+00  0.9820E+00  0.9730E+00  0.9640E+00  0.9380E+00  0.9000E+00  0.8820E+00  0.8780E+00  0.8770E+00  0.8220E+00  0.8020E+00  0.1710E+00  0.3410E+00  0.6780E+00  0.7610E+00  0.7050E+00  0.6610E+00  0.5140E+00  0.2540E+00  0.4380E+00
   8  0.9670E+00  0.9680E+00  0.9730E+00  0.9810E+00  0.9740E+00  0.9570E+00  0.9200E+00  0.8950E+00  0.8930E+00  0.8860E+00  0.8190E+00  0.7870E+00  0.2010E+00  0.3770E+00  0.6730E+00  0.7370E+00  0.6590E+00  0.6040E+00  0.4490E+00  0.1910E+00  0.3320E+00
   9  0.9670E+00  0.9680E+00  0.9730E+00  0.9810E+00  0.9740E+00  0.9570E+00  0.9200E+00  0.8950E+00  0.8930E+00  0.8860E+00  0.8190E+00  0.7870E+00  0.2010E+00  0.3770E+00  0.6730E+00  0.7370E+00  0.6590E+00  0.6040E+00  0.4490E+00  0.1910E+00  0.3320E+00
  10  0.9520E+00  0.9510E+00  0.9450E+00  0.9410E+00  0.9330E+00  0.9110E+00  0.8750E+00  0.8550E+00  0.8520E+00  0.8480E+00  0.7900E+00  0.7680E+00  0.1650E+00  0.3130E+00  0.6360E+00  0.7280E+00  0.6690E+00  0.6280E+00  0.4840E+00  0.2380E+00  0.4300E+00
  11  0.1029E+01  0.1019E+01  0.1005E+01  0.9920E+00  0.9830E+00  0.9670E+00  0.9510E+00  0.9520E+00  0.9520E+00  0.9510E+00  0.9200E+00  0.9300E+00  0.2410E+00  0.4570E+00  0.8350E+00  0.9210E+00  0.9140E+00  0.9070E+00  0.7580E+00  0.4510E+00  0.8770E+00
  12  0.9990E+00  0.9980E+00  0.9980E+00  0.1000E+01  0.9960E+00  0.9800E+00  0.9570E+00  0.9510E+00  0.9500E+00  0.9480E+00  0.9100E+00  0.9080E+00  0.2180E+00  0.4190E+00  0.7910E+00  0.8870E+00  0.8570E+00  0.8360E+00  0.6800E+00  0.3660E+00  0.7000E+00
