0.350;1.3236E+03;1.2673E+03;1.1035E+03;8.4803E+02;5.3089E+02;1.9510E+01
0.355;1.2346E+03;1.1825E+03;1.0307E+03;7.9366E+02;4.9840E+02;2.0811E+01
0.360;1.2486E+03;1.1961E+03;1.0432E+03;8.0414E+02;5.0572E+02;2.3747E+01
0.365;1.2872E+03;1.2337E+03;1.0779E+03;8.3367E+02;5.2744E+02;2.7717E+01
0.370;1.3383E+03;1.2831E+03;1.1222E+03;8.6974E+02;5.5219E+02;3.2191E+01
0.375;1.1371E+03;1.0905E+03;9.5467E+02;7.4124E+02;4.7209E+02;3.0312E+01
0.380;1.2376E+03;1.1871E+03;1.0398E+03;8.0826E+02;5.1570E+02;3.6194E+01
0.385;1.1137E+03;1.0687E+03;9.3728E+02;7.3034E+02;4.6809E+02;3.5794E+01
0.390;1.5113E+03;1.4506E+03;1.2732E+03;9.9381E+02;6.3889E+02;5.2879E+01
0.395;1.5094E+03;1.4491E+03;1.2730E+03;9.9517E+02;6.4162E+02;5.7194E+01
0.400;1.8009E+03;1.7294E+03;1.5203E+03;1.1904E+03;7.6960E+02;7.3546E+01
0.405;1.7902E+03;1.7195E+03;1.5128E+03;1.1861E+03;7.6894E+02;7.8424E+01
0.410;1.7057E+03;1.6387E+03;1.4427E+03;1.1328E+03;7.3625E+02;7.9832E+01
0.415;1.8773E+03;1.8039E+03;1.5891E+03;1.2494E+03;8.1403E+02;9.3489E+01
0.420;1.8743E+03;1.8013E+03;1.5878E+03;1.2500E+03;8.1641E+02;9.9007E+01
0.425;1.8796E+03;1.8068E+03;1.5936E+03;1.2560E+03;8.2227E+02;1.0496E+02
0.430;1.3552E+03;1.3029E+03;1.1498E+03;9.0720E+02;5.9517E+02;7.9727E+01
0.435;1.8094E+03;1.7399E+03;1.5362E+03;1.2134E+03;7.9761E+02;1.1182E+02
0.440;1.9171E+03;1.8437E+03;1.6286E+03;1.2876E+03;8.4802E+02;1.2410E+02
0.445;2.0488E+03;1.9705E+03;1.7414E+03;1.3780E+03;9.0905E+02;1.3849E+02
0.450;2.2499E+03;2.1643E+03;1.9136E+03;1.5158E+03;1.0019E+03;1.5868E+02
0.455;2.1514E+03;2.0698E+03;1.8308E+03;1.4515E+03;9.6120E+02;1.5789E+02
0.460;2.1755E+03;2.0932E+03;1.8521E+03;1.4693E+03;9.7417E+02;1.6542E+02
0.465;2.1571E+03;2.0757E+03;1.8373E+03;1.4587E+03;9.6857E+02;1.6993E+02
0.470;2.0521E+03;1.9749E+03;1.7485E+03;1.3890E+03;9.2341E+02;1.6708E+02
0.475;2.1625E+03;2.0810E+03;1.8422E+03;1.4627E+03;9.7132E+02;1.8009E+02
0.480;2.1704E+03;2.0888E+03;1.8495E+03;1.4693E+03;9.7665E+02;1.8594E+02
0.485;2.0265E+03;1.9506E+03;1.7283E+03;1.3749E+03;9.1654E+02;1.7969E+02
0.490;2.1076E+03;2.0289E+03;1.7984E+03;1.4319E+03;9.5612E+02;1.9252E+02
0.495;2.1066E+03;2.0281E+03;1.7980E+03;1.4321E+03;9.5700E+02;1.9720E+02
0.500;2.0281E+03;1.9525E+03;1.7309E+03;1.3786E+03;9.2092E+02;1.9338E+02
0.505;2.0167E+03;1.9416E+03;1.7211E+03;1.3705E+03;9.1514E+02;1.9557E+02
0.510;2.0117E+03;1.9368E+03;1.7173E+03;1.3682E+03;9.1457E+02;1.9962E+02
0.515;1.9839E+03;1.9102E+03;1.6940E+03;1.3502E+03;9.0323E+02;2.0103E+02
0.520;1.9062E+03;1.8354E+03;1.6277E+03;1.2973E+03;8.6768E+02;1.9623E+02
0.525;2.0283E+03;1.9528E+03;1.7316E+03;1.3798E+03;9.2227E+02;2.1158E+02
0.530;1.9874E+03;1.9134E+03;1.6963E+03;1.3511E+03;9.0219E+02;2.0955E+02
0.535;1.9725E+03;1.8991E+03;1.6837E+03;1.3410E+03;8.9541E+02;2.1094E+02
0.540;1.8308E+03;1.7626E+03;1.5629E+03;1.2451E+03;8.3181E+02;1.9891E+02
0.545;1.9298E+03;1.8580E+03;1.6475E+03;1.3126E+03;8.7690E+02;2.1252E+02
0.550;1.9126E+03;1.8414E+03;1.6327E+03;1.3006E+03;8.6867E+02;2.1301E+02
0.555;1.9295E+03;1.8576E+03;1.6469E+03;1.3115E+03;8.7528E+02;2.1695E+02
0.560;1.8467E+03;1.7778E+03;1.5757E+03;1.2543E+03;8.3621E+02;2.0921E+02
0.565;1.8313E+03;1.7628E+03;1.5619E+03;1.2423E+03;8.2674E+02;2.0835E+02
0.570;1.7905E+03;1.7230E+03;1.5251E+03;1.2104E+03;8.0167E+02;2.0225E+02
0.575;1.8158E+03;1.7471E+03;1.5457E+03;1.2255E+03;8.0989E+02;2.0532E+02
0.580;1.8144E+03;1.7461E+03;1.5459E+03;1.2275E+03;8.1377E+02;2.1011E+02
0.585;1.8166E+03;1.7488E+03;1.5501E+03;1.2338E+03;8.2243E+02;2.1756E+02
