0.4;1801.4;1801.1;1800.2;1798.6;1796.3;1793.4;1789.9;1785.8;1781.0;1775.6;1769.5;1762.8;1755.5;1747.6;1739.0;1729.9;1720.1;1709.7;1698.7;1687.0;1674.8;1662.0;1648.6;1634.6;1620.0;1604.9;1589.1;1572.8;1556.0;1538.6;1520.6;1502.1;1483.1;1463.5;1443.4;1422.8;1401.7;1380.1;1358.0;1335.4;1312.4;1288.9;1264.9;1240.5;1215.6;1190.4;1164.7;1138.6;1112.1;1085.3;1058.1;1030.5;1002.7;974.44;945.92;917.12;888.04;858.7;829.13;799.34;769.36;739.21;708.91;678.49;647.98;617.41;586.81;556.21;525.67;495.21;464.88;434.75;404.86;375.27;346.06;317.3;289.08;261.48;234.62;208.58;183.49;159.46;136.61;115.02;94.771;75.877;58.298;41.946;26.745
0.405;1790.8;1790.4;1789.5;1787.9;1785.7;1782.8;1779.4;1775.3;1770.5;1765.2;1759.2;1752.6;1745.4;1737.5;1729.1;1720.0;1710.3;1700.0;1689.1;1677.6;1665.6;1652.9;1639.6;1625.8;1611.4;1596.4;1580.8;1564.7;1548.0;1530.8;1513.0;1494.7;1475.9;1456.5;1436.6;1416.3;1395.4;1374.0;1352.1;1329.8;1306.9;1283.7;1259.9;1235.8;1211.2;1186.2;1160.7;1134.9;1108.7;1082.1;1055.1;1027.8;1000.2;972.19;943.91;915.34;886.5;857.39;828.04;798.48;768.71;738.76;708.66;678.43;648.09;617.68;587.24;556.78;526.36;496.0;465.77;435.71;405.87;376.31;347.11;318.33;290.07;262.41;235.46;209.31;184.1;159.94;136.94;115.22;94.857;75.879;58.256;41.895;26.704
0.41;1706.2;1705.9;1705.0;1703.5;1701.4;1698.7;1695.4;1691.5;1687.1;1682.0;1676.3;1670.0;1663.2;1655.8;1647.7;1639.1;1630.0;1620.2;1609.9;1599.0;1587.5;1575.5;1563.0;1549.8;1536.2;1521.9;1507.2;1491.9;1476.1;1459.8;1442.9;1425.5;1407.7;1389.3;1370.5;1351.1;1331.3;1311.0;1290.3;1269.1;1247.4;1225.3;1202.8;1179.9;1156.5;1132.8;1108.6;1084.1;1059.2;1033.9;1008.3;982.4;956.13;929.55;902.68;875.52;848.09;820.41;792.5;764.37;736.04;707.53;678.87;650.08;621.17;592.19;563.16;534.1;505.07;476.09;447.2;418.46;389.92;361.63;333.65;306.07;278.95;252.39;226.48;201.33;177.05;153.77;131.59;110.65;91.014;72.739;55.8;40.106;25.556
0.415;1877.8;1877.5;1876.5;1874.9;1872.6;1869.6;1866.0;1861.7;1856.8;1851.3;1845.0;1838.2;1830.7;1822.5;1813.8;1804.3;1794.3;1783.6;1772.3;1760.4;1747.8;1734.7;1720.9;1706.5;1691.5;1676.0;1659.8;1643.0;1625.7;1607.8;1589.4;1570.3;1550.8;1530.6;1510.0;1488.8;1467.0;1444.8;1422.1;1398.8;1375.1;1350.9;1326.2;1301.0;1275.4;1249.4;1222.9;1196.0;1168.7;1141.0;1112.9;1084.4;1055.6;1026.4;996.87;967.05;936.92;906.52;875.85;844.93;813.79;782.45;750.93;719.25;687.44;655.53;623.56;591.55;559.55;527.59;495.72;464.0;432.47;401.2;370.26;339.73;309.69;280.24;251.49;223.55;196.56;170.66;145.97;122.65;100.79;80.47;61.667;44.286;28.199
0.42;1874.8;1874.5;1873.5;1871.9;1869.6;1866.6;1863.1;1858.8;1853.9;1848.4;1842.2;1835.4;1828.0;1819.9;1811.1;1801.8;1791.8;1781.2;1769.9;1758.1;1745.6;1732.5;1718.8;1704.6;1689.7;1674.2;1658.1;1641.5;1624.3;1606.5;1588.1;1569.2;1549.7;1529.7;1509.2;1488.1;1466.5;1444.4;1421.8;1398.7;1375.1;1351.0;1326.4;1301.4;1275.9;1250.0;1223.6;1196.9;1169.7;1142.1;1114.1;1085.8;1057.1;1028.0;998.64;968.94;938.93;908.63;878.06;847.25;816.2;784.94;753.49;721.88;690.14;658.28;626.34;594.36;562.37;530.41;498.52;466.76;435.18;403.84;372.81;342.16;311.99;282.38;253.45;225.31;198.1;171.96;147.03;123.47;101.39;80.884;61.94;44.464;28.313
0.425;1880.1;1879.8;1878.8;1877.2;1874.9;1872.0;1868.4;1864.2;1859.3;1853.8;1847.6;1840.8;1833.4;1825.3;1816.6;1807.2;1797.2;1786.6;1775.4;1763.6;1751.1;1738.1;1724.4;1710.1;1695.3;1679.8;1663.8;1647.1;1630.0;1612.2;1593.9;1575.0;1555.5;1535.5;1515.0;1494.0;1472.4;1450.3;1427.7;1404.6;1381.0;1357.0;1332.4;1307.4;1281.9;1256.0;1229.7;1202.9;1175.8;1148.2;1120.2;1091.9;1063.2;1034.1;1004.7;974.97;944.93;914.61;884.01;853.15;822.06;790.74;759.24;727.56;695.73;663.78;631.74;599.65;567.53;535.43;503.39;471.46;439.7;408.15;376.9;346.01;315.57;285.68;256.45;227.99;200.44;173.96;148.69;124.78;102.39;81.593;62.42;44.773;28.495
0.43;1355.5;1355.3;1354.6;1353.4;1351.8;1349.7;1347.1;1344.0;1340.5;1336.6;1332.2;1327.3;1321.9;1316.1;1309.9;1303.2;1296.0;1288.4;1280.3;1271.8;1262.9;1253.5;1243.7;1233.4;1222.8;1211.7;1200.2;1188.2;1175.9;1163.1;1149.9;1136.4;1122.4;1108.0;1093.3;1078.2;1062.7;1046.8;1030.6;1014.0;997.03;979.74;962.1;944.13;925.83;907.21;888.27;869.03;849.5;829.67;809.56;789.17;768.52;747.61;726.46;705.08;683.47;661.64;639.61;617.4;595.01;572.46;549.76;526.93;503.99;480.96;457.85;434.7;411.52;388.35;365.2;342.13;319.16;296.34;273.72;251.35;229.28;207.6;186.38;165.7;145.66;126.38;107.97;90.545;74.22;59.075;45.131;32.33;20.55
0.435;1809.8;1809.5;1808.6;1807.0;1804.8;1802.0;1798.6;1794.6;1789.9;1784.6;1778.8;1772.3;1765.2;1757.4;1749.1;1740.2;1730.7;1720.5;1709.8;1698.5;1686.6;1674.1;1661.1;1647.5;1633.3;1618.5;1603.2;1587.3;1570.9;1553.9;1536.4;1518.3;1499.7;1480.6;1461.0;1440.9;1420.3;1399.1;1377.5;1355.4;1332.9;1309.9;1286.4;1262.5;1238.1;1213.3;1188.1;1162.5;1136.5;1110.1;1083.3;1056.1;1028.6;1000.8;972.6;944.1;915.3;886.21;856.85;827.23;797.37;767.29;737.01;706.55;675.93;645.18;614.32;583.39;552.42;521.44;490.49;459.62;428.88;398.31;368.0;337.99;308.39;279.27;250.74;222.92;195.95;169.96;145.13;121.62;99.59;79.161;60.384;43.189;27.408
0.44;1917.5;1917.1;1916.1;1914.5;1912.2;1909.2;1905.6;1901.4;1896.5;1890.9;1884.7;1877.8;1870.3;1862.2;1853.4;1844.0;1833.9;1823.2;1811.9;1800.0;1787.4;1774.2;1760.5;1746.1;1731.1;1715.5;1699.3;1682.5;1665.2;1647.2;1628.7;1609.7;1590.1;1569.9;1549.2;1527.9;1506.1;1483.8;1461.0;1437.7;1413.9;1389.5;1364.7;1339.5;1313.7;1287.5;1260.9;1233.8;1206.3;1178.4;1150.1;1121.4;1092.3;1062.9;1033.1;1003.0;972.51;941.74;910.68;879.34;847.74;815.9;783.85;751.59;719.17;686.59;653.9;621.11;588.27;555.41;522.58;489.81;457.16;424.69;392.45;360.54;329.02;298.01;267.59;237.91;209.11;181.34;154.78;129.61;106.02;84.162;64.099;45.772;28.999
0.445;2049.1;2048.7;2047.7;2045.9;2043.5;2040.3;2036.5;2031.9;2026.7;2020.8;2014.2;2006.9;1998.9;1990.2;1980.8;1970.8;1960.1;1948.7;1936.6;1923.9;1910.5;1896.5;1881.8;1866.5;1850.5;1833.9;1816.7;1798.8;1780.3;1761.2;1741.5;1721.2;1700.3;1678.8;1656.7;1634.1;1610.9;1587.1;1562.8;1537.9;1512.5;1486.6;1460.2;1433.2;1405.8;1377.9;1349.5;1320.6;1291.3;1261.5;1231.3;1200.7;1169.7;1138.3;1106.5;1074.4;1041.9;1009.0;975.9;942.45;908.72;874.72;840.49;806.04;771.4;736.6;701.65;666.6;631.49;596.34;561.2;526.12;491.16;456.37;421.82;387.59;353.77;320.46;287.78;255.87;224.86;194.95;166.32;139.18;113.74;90.17;68.57;48.889;30.925
